ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
5,71,841.6016989145824,1402.342614440774,0,71
5,72,195.69668390629752,1459.592637663523,0,72
5,73,914.6986460348162,1478.4274661508705,0,73
5,74,1825.2753391859537,1478.8313381218409,0,74
5,75,342.88509649749824,1483.4117226590422,0,75
5,76,687.3412514484357,1533.5883545770569,0,76
5,77,518.8412031047866,1532.1410090556274,0,77
5,78,586.039974210187,1601.1160541586073,0,78
5,79,260.83543144884413,1610.65140764477,0,79
5,80,340.5106082036775,1597.0884016973125,0,80
5,81,327.2119654605263,1635.1558388157894,0,81
5,82,741.2345679012345,1698.1113239676458,0,82
5,83,1426.3135674534637,1744.6576472845902,0,83
5,84,956.1662298764508,1780.2800449269937,0,84
5,85,1427.3505265420158,1812.1573178594456,0,85
5,86,1208.303409090909,1803.8625,0,86
6,1,1551.9553630912724,23.82878081279147,0,1
6,2,1600.7283715012722,32.833333333333336,0,2
6,3,456.6112469437653,41.54645476772616,0,3
6,4,1628.054214876033,66.72892561983471,0,4
6,5,1556.279151943463,66.02650176678445,0,5
6,6,1699.0559080095163,129.33624107850912,0,6
6,7,1798.7743055555557,157.26967592592592,0,7
6,8,1764.3941223832528,207.57689210950082,0,8
6,9,970.4181380417335,216.25548421615838,0,9
6,10,1444.6510144927536,277.556231884058,0,10
6,11,1012.3686188537425,285.4337613529596,0,11
6,12,1092.7714285714285,296.0273291925466,0,12
6,13,1072.4536213468868,320.861499364676,0,13
6,14,45.64241001564945,320.8505477308294,0,14
6,15,1123.8978065802592,302.6036889332004,0,15
6,16,1040.6646191646191,326.1769041769042,0,16
6,17,1395.3233771405814,323.9462365591398,0,17
6,18,1148.7710437710439,325.3754208754209,0,18
6,19,1104.6805807622504,338.0426497277677,0,19
6,20,369.2077863286555,333.2682209144409,0,20
6,21,1185.9412350597609,344.9666334661355,0,21
6,22,1078.682131206959,370.1953606379123,0,22
6,23,1619.6655367231638,376.51355932203387,0,23
6,24,1125.6771812080538,382.46040268456375,0,24
6,25,1485.6654370034053,370.2295686719637,0,25
6,26,1657.6271676300578,392.0479768786127,0,26
6,27,795.5018108651911,400.38108651911466,0,27
6,28,1701.3713574982232,404.2938877043355,0,28
6,29,1065.4821002386634,405.5656324582339,0,29
6,30,1644.7332123411977,436.4984875983061,0,30
6,31,660.7236842105264,443.0123089983022,0,31
6,32,1331.4793388429753,488.03279125566513,0,32
6,33,1302.198031496063,511.28976377952756,0,33
6,34,1003.8288760390315,516.787495482472,0,34
6,35,1334.828947368421,552.0111336032388,0,35
6,36,1462.6311824434981,643.0429086144776,0,36
6,37,998.719070403281,646.375939849624,0,37
6,38,1310.0465962868584,644.8718602111394,0,38
6,39,641.6074990027922,668.2485041882728,0,39
6,40,1882.6832211650035,688.5667208168949,0,40
6,41,1870.8601455133387,745.6932093775263,0,41
6,42,1924.2105434428897,742.5802147738366,0,42
6,43,1831.9274298056155,754.3451403887689,0,43
6,44,1906.3846153846155,790.9256698357822,0,44
6,45,532.5053337397135,785.3105760438891,0,45
6,46,1998.3192748797633,804.5035146133926,0,46
6,47,561.3877659574468,813.0281914893617,0,47
6,48,143.46594090202177,831.8939346811819,0,48
6,49,635.302476020522,842.8521079634173,0,49
6,50,335.6772525849335,845.6196454948301,0,50
6,51,1513.6437896307348,875.9970160387915,0,51
6,52,344.36530833032816,892.1355932203389,0,52
6,53,1306.1487889273355,908.5095155709342,0,53
6,54,1200.1951138989766,929.7276328821393,0,54
6,55,1299.998750780762,936.8594628357276,0,55
6,56,862.2728314864348,960.5078333970195,0,56
6,57,1293.9108547456738,970.2663869952805,0,57
6,58,1463.4919507575758,1018.0880681818181,0,58
6,59,1428.9572222222223,1023.5727777777778,0,59
6,60,719.5560704355885,1100.5722891566265,0,60
6,61,790.2934472934473,1123.2625830959164,0,61
6,62,618.0088534749889,1137.5320938468349,0,62
6,63,703.968947368421,1152.312105263158,0,63
6,64,804.5225618631732,1159.603105288695,0,64
6,65,635.760265700483,1164.6884057971015,0,65
6,66,1927.0613323933733,1173.186817060275,0,66
6,67,772.7759593679458,1179.8256207674945,0,67
6,68,882.3344566133109,1181.1710193765796,0,68
6,69,756.3760092272203,1209.9677047289504,0,69
6,70,269.26892857142855,1244.2639285714286,0,70
6,71,777.8705357142857,1239.119642857143,0,71
6,72,718.4114312706661,1239.994803967879,0,72
6,73,749.6421923474663,1257.3205791106516,0,73
6,74,779.5456852791879,1269.0008460236886,0,74
6,75,960.5703673132481,1277.3103590590179,0,75
6,76,714.3520266518601,1292.399777901166,0,76
6,77,768.7467343976778,1298.1023222060958,0,77
6,78,796.7702265372168,1307.4239482200646,0,78
6,79,1147.406612133606,1318.387184730743,0,79
6,80,1701.6568401658221,1384.317825886688,0,80
6,81,391.968534906588,1381.3575876761718,0,81
6,82,841.7300380228137,1402.2419201520913,0,82
6,83,195.6953601953602,1459.6990231990233,0,83
6,84,914.6494163424125,1478.2929961089494,0,84
6,85,1825.3492569002124,1478.8556263269638,0,85
6,86,337.60258371579124,1488.882882882883,0,86
6,87,1569.8369947275924,1491.956942003515,0,87
6,88,687.6686029625326,1533.6712169619518,0,88
6,89,518.93853121967,1532.1892591394371,0,89
6,90,586.038856775851,1601.0067437379575,0,90
6,91,339.8654929577465,1596.6640845070422,0,91
6,92,325.8284866468843,1633.676162215628,0,92
6,93,1427.5025929127053,1812.120570440795,0,93
6,94,1208.2240587695132,1803.563590449954,0,94
6,95,1333.2065820777161,1863.0483743061063,0,95
