ImageNumber,ObjectNumber,Intensity_MeanIntensity_BGS_mt,Intensity_MeanIntensity_BGS_other,Number_Object_Number
1,141,0.0057790836549492,0.002164764598746009,141
1,142,0.006717870856257432,0.002247739012569807,142
1,143,0.0052998113655941745,0.0020651743823561428,143
1,144,0.015250779386930475,0.00239720187730493,144
1,145,0.005862794236116873,0.00220950965438943,145
1,146,0.010246087887623746,0.0036699645115628042,146
1,147,0.005936311197930976,0.002212851443541371,147
1,148,0.013204138247351609,0.0036320561515313537,148
1,149,0.008910107785884573,0.0033218918612552364,149
1,150,0.007375714489756804,0.0022335354568255323,150
1,151,0.006472818014001055,0.0023019548982825696,151
1,152,0.006672486356445082,0.002183632268061492,152
1,153,0.00671489029357742,0.0022076930793368124,153
1,154,0.007562294904497097,0.002200179116521092,154
1,155,0.014750969503827607,0.004458939159091584,155
1,156,0.005975928578819451,0.0021310480598936,156
1,157,0.008318926536954666,0.0024518783432415947,157
1,158,0.010865986363589333,0.0025430341096421886,158
1,159,0.007729074605442431,0.0023527163531623617,159
1,160,0.008066573785449534,0.00235183589340644,160
1,161,0.006586523770010065,0.0022025449578017917,161
1,162,0.006459509762272119,0.0021224751733744983,162
1,163,0.0064887802096085774,0.002332401692420929,163
1,164,0.005032886794829241,0.002025903314646359,164
1,165,0.005319566238677135,0.002333226509812242,165
1,166,0.0071374474084906735,0.0022331720903400565,166
1,167,0.010120237251012104,0.002113271375672011,167
1,168,0.005313342401996394,0.0020524955902049558,168
1,169,0.005916839102752989,0.0019431431190088302,169
1,170,0.00679573650310633,0.0022060882433828774,170
1,171,0.00571189147320855,0.002133837522050525,171
1,172,0.007915195936327698,0.002332919906460601,172
1,173,0.008268021613640824,0.0024170742665804673,173
1,174,0.007855835685538666,0.002367919618119778,174
1,175,0.005781783089927544,0.00201825280757597,175
1,176,0.02346726026162576,0.0022825941865938734,176
1,177,0.008239359213328322,0.0021314079854274403,177
1,178,0.018791619329089165,0.002230953922440928,178
1,179,0.006184766510944594,0.002133158583316636,179
1,180,0.03926327700191493,0.004202582297595934,180
1,181,0.005727886760053525,0.002071736769382761,181
1,182,0.019958448262551182,0.0030393427281037518,182
1,183,0.0064017390176194814,0.002244083292820458,183
1,184,0.02111809529427299,0.00556846177384749,184
1,185,0.006593675188230866,0.0022857307991268035,185
1,186,0.02436425146751315,0.0024457156312892693,186
1,187,0.005526765074217663,0.002077798398975666,187
1,188,0.022265524747695463,0.0024240368725804875,188
1,189,0.005442838340111794,0.002098023972051663,189
1,190,0.007073190832150425,0.002331607258800702,190
1,191,0.009218324873948497,0.0026076392562885396,191
1,192,0.01059666798537564,0.00205416285732457,192
1,193,0.0068125188274202,0.0021735540326286978,193
1,194,0.010278309239153023,0.0021936268794824246,194
1,195,0.008799632226610397,0.0022798571873396773,195
1,196,0.006819150464243104,0.0022015930441980306,196
1,197,0.007429457331086193,0.002340358722094498,197
1,198,0.015493061125200285,0.005587156054285748,198
1,199,0.02471138979327478,0.005216094014784471,199
1,200,0.01045926552114523,0.0022178602323764903,200
1,201,0.005037002900609925,0.0020672798290621536,201
1,202,0.00618245136556317,0.0021083220035903205,202
1,203,0.009238424469840195,0.002302177564589215,203
1,204,0.005667532909252759,0.0021815119327899834,204
1,205,0.007224382928517812,0.002230797696849514,205
1,206,0.0060648340421364305,0.0021511363298071205,206
1,207,0.006335803450553331,0.002208032401363429,207
1,208,0.009468572046757384,0.0021513987083568533,208
1,209,0.009280031098266752,0.0023112434485445966,209
1,210,0.005977689023816185,0.00215125069923111,210
1,211,0.007713230206533822,0.0023670757605099993,211
1,212,0.011244182073072796,0.0026307294759540406,212
1,213,0.019385199262185897,0.004087566046250018,213
1,214,0.005583026265820826,0.0021178865197025313,214
1,215,0.008657960229408708,0.0021535458808953096,215
1,216,0.010868680356896572,0.0021411635164141417,216
1,217,0.006194978949369264,0.0022546342702439667,217
1,218,0.007912554379374265,0.002313453347808949,218
1,219,0.0055219325021659315,0.002122326024686423,219
1,220,0.011909984975410053,0.002271024824167588,220
1,221,0.006330916776470196,0.0021645214715092166,221
1,222,0.005382475978399667,0.002190025961338343,222
1,223,0.006704143784294821,0.0022511479692463566,223
1,224,0.006309659476145154,0.002199031947226314,224
1,225,0.006653603877865279,0.0022815231722084555,225
1,226,0.0063872829462166564,0.0021693434112783627,226
1,227,0.008094429295760507,0.002218375053417361,227
1,228,0.005133408792268075,0.0020536786255142313,228
1,229,0.005402211102500293,0.002006224243802585,229
1,230,0.0052585603666940855,0.0020825000948996053,230
1,231,0.010897323986023402,0.0021583154751881996,231
1,232,0.012945450995251866,0.0020933287930799535,232
1,233,0.006613972373211281,0.0022366323580582863,233
2,1,0.016753605845885023,0.0025448426097549027,1
2,2,0.023196368235089818,0.0023223962643026453,2
2,3,0.009007866529338151,0.0027976220428452226,3
2,4,0.009871881551964124,0.0024348382530308245,4
2,5,0.021402143101439872,0.002312948874796459,5
2,6,0.011718405585957867,0.0023438403385341792,6
2,7,0.007396914047861191,0.0023245144972329486,7
2,8,0.008620835308649093,0.0023355496978154774,8
2,9,0.009497060736369653,0.0030978603088128074,9
2,10,0.0058857567943675455,0.002154639330408693,10
2,11,0.0054719058726757225,0.0020517143957004343,11
2,12,0.005205249607820375,0.0020591304181491877,12
2,13,0.013569869295817515,0.0023999523521653363,13
2,14,0.009681570992618798,0.0025638415834556023,14
2,15,0.013418729704696226,0.0024851123641703014,15
2,16,0.006765914601150626,0.002163110565712818,16
2,17,0.006273445437446709,0.0022338089456132772,17
2,18,0.006149086874748178,0.002247762784354966,18
2,19,0.021322680683712923,0.0030856637545876816,19
2,20,0.006805472350600954,0.0022770221232270554,20
